date,paid,organic,
2017-03-01,9597126,15346209,
2017-03-02,9565080,15170811,
2017-03-03,9922270,15570750,
2017-03-04,10389823,17614907,
2017-03-05,10707234,17467287,
2017-03-06,9546531,14511285,
2017-03-07,9226562,14733265,
2017-03-08,9190585,14689045,
2017-03-09,9369903,14733520,
2017-03-10,9704909,15646495,
2017-03-11,10476250,17887966,
2017-03-12,10735824,17945417,
2017-03-13,9940364,15059549,
2017-03-14,10632203,15471055,
2017-03-15,9922990,15286845,
2017-03-16,9778026,15267369,
2017-03-17,10169092,15929826,
2017-03-18,10742793,17857219,
2017-03-19,11069734,17768430,
2017-03-20,9968331,15141070,
2017-03-21,10824938,14821458,
2017-03-22,10837639,15038147,
2017-03-23,10716800,15525773,
2017-03-24,10454871,16467219,
2017-03-25,11223414,18349397,